Culture Number,Slice,Count,Total Area,Average Size,%Area
1,DAPI_24h\2020-06-01T04_41_07Z_recIbKseRpW7kwnYL_1-Axio_yTlON.jpg,191,299935,1570,2
2,DAPI_24h\2020-06-01T04_41_39Z_recIbKseRpW7kwnYL_1-Axio_Kl9yf.jpg,223,152534,684,1
3,DAPI_24h\2020-06-01T04_42_03Z_recIbKseRpW7kwnYL_1-Axio_5UjPe.jpg,199,167612,842,1
4,DAPI_24h\2020-06-01T04_42_24Z_recIbKseRpW7kwnYL_1-Axio_PmNjh.jpg,186,155080,834,1
5,DAPI_24h\2020-06-01T04_42_45Z_recIbKseRpW7kwnYL_1-Axio_QkfCw.jpg,235,198978,847,1
6,DAPI_24h\2020-06-01T04_43_10Z_recIbKseRpW7kwnYL_1-Axio_8Vjec.jpg,230,214015,930,1
7,DAPI_24h\2020-06-01T04_43_33Z_recIbKseRpW7kwnYL_1-Axio_T9mP1.jpg,206,142952,694,1
8,DAPI_24h\2020-06-01T04_44_01Z_recIbKseRpW7kwnYL_1-Axio_vVx01.jpg,174,370890,2132,2
9,DAPI_24h\2020-06-01T04_44_39Z_recIbKseRpW7kwnYL_1-Axio_lg4BZ.jpg,203,389507,1919,2
10,DAPI_24h\2020-06-01T04_45_21Z_recIbKseRpW7kwnYL_1-Axio_p3hDN.jpg,179,161750,904,1
